State,Enrolled Years,Calendar Years
1,0.0315508021390,0.0085561497326
2,0.0721925133690,0.0160427807487
3,0.2037433155080,0.0577540106952
4,0.2529411764706,0.0823529411765
5,0.2106951871658,0.1390374331551
6,0.1438502673797,0.1577540106952
7,0.0652406417112,0.2427807486631
8,0.0160427807487,0.2941176470588
9,0.0037433155080,0.0016042780749
