State,Enrolled Years,Calendar Years
1,0.00211557733,0.001113461753
2,0.007571539918,0.0007794232268
3,0.03217904465,0.005901347289
4,0.3903796905,0.1476450284
5,0.3327023717,0.3028615967
6,0.164569647,0.2400623539
7,0.05689789556,0.2336042757
8,0.009019040196,0.06803251308
9,0.004565193186,0
